state,2013,2014,2015,2016,2017,2018,2019,total
AK,5,2,4,7,8,8,7,41
AL,22,18,18,26,26,15,13,138
AR,15,7,5,19,15,21,21,103
AZ,54,44,43,50,48,67,37,343
CA,197,167,200,158,181,138,145,1186
CO,22,22,29,31,35,48,40,227
CT,12,3,4,6,6,1,4,36
DC,7,4,6,5,2,1,1,26
DE,2,3,4,1,7,1,2,20
FL,90,94,72,72,65,78,69,540
GA,35,28,34,29,38,54,47,265
HI,4,3,2,6,4,11,7,37
IA,5,9,5,5,5,10,6,45
ID,4,4,7,6,6,13,8,48
IL,28,33,22,31,26,24,17,181
IN,22,10,20,16,20,17,19,124
KS,5,15,11,11,14,9,10,75
KY,9,19,17,21,17,23,16,122
LA,16,24,29,22,20,17,20,148
MA,14,5,10,13,5,4,5,56
MD,24,21,20,17,12,14,20,128
ME,5,6,2,2,10,3,3,31
MI,16,20,18,17,16,22,14,123
MN,11,10,14,14,10,12,13,84
MO,30,26,22,23,35,26,35,197
MS,7,17,14,10,17,15,28,108
MT,7,6,4,5,6,6,6,40
NC,30,27,24,37,22,29,35,204
ND,1,1,1,1,3,4,0,11
NE,5,6,9,8,1,1,6,36
NH,3,1,4,2,3,2,2,17
NJ,15,14,18,14,15,14,13,103
NM,17,18,20,22,22,22,21,142
NV,12,22,20,14,17,23,13,121
NY,25,22,23,22,18,18,27,155
OH,29,29,35,27,34,37,24,215
OK,20,27,37,31,30,34,35,214
OR,12,16,16,16,12,20,21,113
PA,39,15,21,24,26,31,15,171
RI,1,1,0,2,1,1,0,6
SC,16,19,20,18,12,15,20,120
SD,2,3,3,6,3,4,4,25
TN,21,22,23,25,28,27,33,179
TX,109,102,112,92,80,111,113,719
UT,7,18,11,9,6,19,12,82
VA,18,11,22,18,26,18,11,124
VT,1,1,1,2,1,2,4,12
WA,29,34,19,27,40,28,41,218
WI,15,10,11,17,26,13,19,111
WV,10,8,11,12,12,7,14,74
WY,1,3,6,2,1,4,2,19
_All,1106,1050,1103,1071,1093,1142,1098,7663
